table at $140000 (2048 words, 24-bit)
idx(hex) hex frac(=/2^23)
646 (286) 4FA3F5 +0.6221911
647 (287) 4FAADB +0.6224016
648 (288) 4FB1C3 +0.6226124
649 (289) 4FB8AB +0.6228231
650 (28a) 4FBF93 +0.6230339
651 (28b) 4FC67D +0.6232449
652 (28c) 4FCD66 +0.6234558
653 (28d) 4FD451 +0.6236669
654 (28e) 4FDB3C +0.6238780
655 (28f) 4FE227 +0.6240891
656 (290) 4FE913 +0.6243004
657 (291) 4FF000 +0.6245117
658 (292) 4FF6EE +0.6247232
659 (293) 4FFDDC +0.6249347
660 (294) 5004CA +0.6251462
661 (295) 500BB9 +0.6253577
662 (296) 5012A9 +0.6255695
663 (297) 501999 +0.6257812
664 (298) 50208A +0.6259930
665 (299) 50277C +0.6262050
666 (29a) 502E6E +0.6264169
667 (29b) 503561 +0.6266290
668 (29c) 503C54 +0.6268411
669 (29d) 504348 +0.6270533
670 (29e) 504A3D +0.6272656
671 (29f) 505132 +0.6274779
672 (2a0) 505828 +0.6276903
673 (2a1) 505F1E +0.6279027
674 (2a2) 506615 +0.6281153
675 (2a3) 506D0D +0.6283280
676 (2a4) 507405 +0.6285406
677 (2a5) 507AFE +0.6287534
678 (2a6) 5081F7 +0.6289662
679 (2a7) 5088F1 +0.6291791
680 (2a8) 508FEC +0.6293921
681 (2a9) 5096E7 +0.6296052
682 (2aa) 509DE3 +0.6298183
683 (2ab) 50A4DF +0.6300315
684 (2ac) 50ABDD +0.6302449
685 (2ad) 50B2DA +0.6304581
686 (2ae) 50B9D8 +0.6306715
687 (2af) 50C0D7 +0.6308850
688 (2b0) 50C7D7 +0.6310986
689 (2b1) 50CED7 +0.6313123
690 (2b2) 50D5D8 +0.6315260
691 (2b3) 50DCD9 +0.6317397
692 (2b4) 50E3DB +0.6319536
693 (2b5) 50EADD +0.6321675
694 (2b6) 50F1E0 +0.6323814
695 (2b7) 50F8E4 +0.6325955
696 (2b8) 50FFE8 +0.6328096
697 (2b9) 5106ED +0.6330239
698 (2ba) 510DF3 +0.6332382
699 (2bb) 5114F9 +0.6334525
700 (2bc) 511C00 +0.6336670
701 (2bd) 512307 +0.6338814
702 (2be) 512A0F +0.6340960
703 (2bf) 513118 +0.6343107
704 (2c0) 513821 +0.6345254
705 (2c1) 513F2B +0.6347402
706 (2c2) 514635 +0.6349550
707 (2c3) 514D40 +0.6351700
708 (2c4) 51544C +0.6353850
709 (2c5) 515B58 +0.6356001
710 (2c6) 516265 +0.6358153
711 (2c7) 516972 +0.6360304
712 (2c8) 517080 +0.6362457
713 (2c9) 51778F +0.6364611
714 (2ca) 517E9E +0.6366765
715 (2cb) 5185AE +0.6368921
716 (2cc) 518CBF +0.6371077
717 (2cd) 5193D0 +0.6373234
718 (2ce) 519AE2 +0.6375391
719 (2cf) 51A1F4 +0.6377549
720 (2d0) 51A907 +0.6379708
721 (2d1) 51B01B +0.6381868
722 (2d2) 51B72F +0.6384028
723 (2d3) 51BE44 +0.6386189
724 (2d4) 51C559 +0.6388351
725 (2d5) 51CC6F +0.6390513
726 (2d6) 51D386 +0.6392677
727 (2d7) 51DA9D +0.6394840
728 (2d8) 51E1B5 +0.6397005
729 (2d9) 51E8CD +0.6399170
730 (2da) 51EFE7 +0.6401337
731 (2db) 51F700 +0.6403503
732 (2dc) 51FE1B +0.6405672
733 (2dd) 520536 +0.6407840
734 (2de) 520C51 +0.6410009
735 (2df) 52136D +0.6412178
736 (2e0) 521A8A +0.6414349
737 (2e1) 5221A8 +0.6416521
738 (2e2) 5228C6 +0.6418693
739 (2e3) 522FE4 +0.6420865
740 (2e4) 523704 +0.6423039
741 (2e5) 523E23 +0.6425213
742 (2e6) 524544 +0.6427388
