# P:$143F95  filter_div_table_1  (1201 words)
# FILTER: div table 1, indexed by BASE cutoff x $4AF>>24 (0..1199); used at P:$057D kernel
#  idx | hex     signed24   fraction(24-bit)
   603 | 03DB0D    252685   0.0301224
   604 | 03E06A    254058   0.0302861
   605 | 03E5CE    255438   0.0304506
   606 | 03EB3A    256826   0.0306160
   607 | 03F0AE    258222   0.0307825
   608 | 03F629    259625   0.0309497
   609 | 03FBAB    261035   0.0311178
   610 | 040136    262454   0.0312870
   611 | 0406C8    263880   0.0314569
   612 | 040C61    265313   0.0316278
   613 | 041203    266755   0.0317997
   614 | 0417AC    268204   0.0319724
   615 | 041D5E    269662   0.0321462
   616 | 042317    271127   0.0323209
   617 | 0428D8    272600   0.0324965
   618 | 042EA2    274082   0.0326731
   619 | 043473    275571   0.0328506
   620 | 043A4C    277068   0.0330291
   621 | 04402E    278574   0.0332086
   622 | 044618    280088   0.0333891
   623 | 044C0A    281610   0.0335705
   624 | 045204    283140   0.0337529
   625 | 045806    284678   0.0339363
   626 | 045E11    286225   0.0341207
   627 | 046425    287781   0.0343062
   628 | 046A41    289345   0.0344926
   629 | 047065    290917   0.0346800
   630 | 047692    292498   0.0348685
   631 | 047CC7    294087   0.0350579
   632 | 048306    295686   0.0352485
   633 | 04894D    297293   0.0354401
   634 | 048F9C    298908   0.0356326
   635 | 0495F5    300533   0.0358263
   636 | 049C56    302166   0.0360210
   637 | 04A2C0    303808   0.0362167
   638 | 04A933    305459   0.0364136
   639 | 04AFAF    307119   0.0366114
   640 | 04B634    308788   0.0368104
   641 | 04BCC3    310467   0.0370106
   642 | 04C35A    312154   0.0372117
   643 | 04C9FA    313850   0.0374138
   644 | 04D0A4    315556   0.0376172
   645 | 04D757    317271   0.0378217
   646 | 04DE14    318996   0.0380273
   647 | 04E4D9    320729   0.0382339
   648 | 04EBA9    322473   0.0384418
   649 | 04F281    324225   0.0386506
   650 | 04F964    325988   0.0388608
   651 | 050050    327760   0.0390720
   652 | 050745    329541   0.0392843
   653 | 050E44    331332   0.0394979
   654 | 05154D    333133   0.0397125
   655 | 051C60    334944   0.0399284
   656 | 05237D    336765   0.0401455
   657 | 052AA3    338595   0.0403637
   658 | 0531D4    340436   0.0405831
   659 | 05390F    342287   0.0408038
   660 | 054053    344147   0.0410255
   661 | 0547A2    346018   0.0412486
   662 | 054EFB    347899   0.0414728
   663 | 05565E    349790   0.0416982
   664 | 055DCC    351692   0.0419250
   665 | 056544    353604   0.0421529
   666 | 056CC6    355526   0.0423820
   667 | 057453    357459   0.0426124
   668 | 057BEA    359402   0.0428441
   669 | 05838C    361356   0.0430770
   670 | 058B39    363321   0.0433112
   671 | 0592F0    365296   0.0435467
   672 | 059AB2    367282   0.0437834
   673 | 05A27F    369279   0.0440215
   674 | 05AA57    371287   0.0442609
   675 | 05B239    373305   0.0445014
   676 | 05BA27    375335   0.0447434
   677 | 05C220    377376   0.0449867
   678 | 05CA24    379428   0.0452313
